feature,giorgio,nan
parameter,FS-P2-1 [mA],CE04_temp [\\°C]
series,3f695c37-aed7-4e7f-a642-1779dfb1eb87,4021c86d-6efe-4ca2-8fbc-0209c8ecfc59
timestamp,,
2022-07-02 19:57:35,,28.9
2022-07-02 20:57:35,,27.2
2022-07-02 21:57:35,,26.6
2022-07-02 22:57:35,,25.2
2022-07-02 23:57:35,,24.7
2022-07-03 00:57:35,,24.1
2022-07-03 01:57:35,,23.0
2022-07-03 02:57:35,,22.4
2022-07-03 03:57:35,,21.4
2022-07-03 04:57:35,,20.5
2022-07-03 05:57:35,,20.3
2022-07-03 06:57:35,,21.7
2022-07-03 07:57:35,,24.5
2022-07-03 08:57:35,,28.0
2022-07-03 09:57:35,,29.8
2022-07-03 10:57:35,,31.7
2022-07-03 11:57:35,,32.9
2022-07-03 12:57:35,,34.2
2022-07-03 13:57:35,,35.2
2022-07-03 14:57:35,,35.4
2022-07-03 15:57:35,,39.1
2022-07-03 16:57:35,,35.7
2022-07-03 17:57:35,,35.2
2022-07-03 18:57:35,,35.5
2022-07-03 19:57:35,,31.3
2022-07-03 20:57:35,,28.6
2022-07-03 21:57:35,,26.4
2022-07-03 22:57:35,,25.0
2022-07-03 23:57:35,,24.4
2022-07-04 00:57:35,,23.8
2022-07-04 01:57:35,,23.3
2022-07-04 02:57:35,,23.2
2022-07-04 03:57:35,,22.4
2022-07-04 04:57:35,,22.0
2022-07-04 05:57:35,,21.9
2022-07-04 06:57:35,,23.3
2022-07-04 07:57:35,,25.7
2022-07-04 08:57:35,,28.0
2022-07-04 09:57:35,,30.2
2022-07-04 10:57:35,,31.7
2022-07-04 11:57:35,,32.9
2022-07-04 12:57:35,,34.0
2022-07-04 13:57:35,,34.5
2022-07-04 14:57:35,,34.5
2022-07-04 15:57:35,,40.5
2022-07-04 16:57:35,,42.2
2022-07-04 17:57:35,,38.9
2022-07-04 18:57:35,,37.6
2022-07-04 19:57:35,,31.3
2022-07-04 20:57:35,,27.9
2022-07-04 21:57:35,,27.0
2022-07-04 22:57:35,,26.4
2022-07-04 23:57:35,,25.5
2022-07-05 00:57:35,,25.7
2022-07-05 01:57:35,,24.3
2022-07-05 02:57:35,,23.3
2022-07-05 03:57:35,,23.0
2022-07-05 04:57:35,,22.8
2022-07-05 05:57:35,,22.3
2022-07-05 06:57:35,,23.8
2022-07-05 07:57:35,,25.7
2022-07-05 08:57:35,,27.5
2022-07-05 09:57:35,,29.2
2022-07-05 10:57:35,,30.8
2022-07-05 11:57:35,,31.8
2022-07-05 12:57:35,,32.6
2022-07-05 13:57:35,,33.2
2022-07-05 14:57:35,,33.4
2022-07-05 15:57:35,,38.1
2022-07-05 16:57:35,,39.8
2022-07-05 17:57:35,,35.5
2022-07-05 18:57:35,,36.8
2022-07-05 19:57:35,,31.6
2022-07-05 20:57:35,,27.8
2022-07-05 21:57:35,,27.1
2022-07-05 22:57:35,,26.5
2022-07-05 23:57:35,,25.1
2022-07-06 00:57:35,,24.1
2022-07-06 01:57:35,,23.5
2022-07-06 02:57:35,,24.3
2022-07-06 03:57:35,,23.1
2022-07-06 04:57:35,,21.5
2022-07-06 05:57:35,,21.3
2022-07-06 06:57:35,,22.5
2022-07-06 07:57:35,,24.8
2022-07-06 08:57:35,,27.1
2022-07-06 09:57:35,,30.7
2022-07-06 10:57:35,,31.8
2022-07-06 11:57:35,,32.5
2022-07-06 12:57:35,,33.8
2022-07-06 13:57:35,,33.9
2022-07-06 14:57:35,,34.7
2022-07-06 15:57:35,,40.2
2022-07-06 16:57:35,,42.6
2022-07-06 17:57:35,,38.1
2022-07-06 18:57:35,,38.6
2022-07-06 19:57:35,,33.4
2022-07-06 20:57:35,,29.0
2022-07-06 21:57:35,,27.3
2022-07-06 22:57:35,,25.4
2022-07-06 23:57:35,,25.0
2022-07-07 00:57:35,,24.2
2022-07-07 01:57:35,,24.0
2022-07-07 02:57:35,,24.0
2022-07-07 03:57:35,,24.1
2022-07-07 04:57:35,,23.1
2022-07-07 05:57:36,,23.0
2022-07-07 06:57:35,,24.7
2022-07-07 07:57:35,,26.4
2022-07-07 08:00:00,7.7917,
2022-07-07 08:30:00,7.827,
2022-07-07 08:57:35,,0.0
2022-07-07 09:00:00,7.7896,
2022-07-07 09:30:00,7.8243,
2022-07-07 09:58:11,,29.4
2022-07-07 10:58:11,,31.1
2022-07-07 11:58:11,,32.0
2022-07-07 12:58:11,,32.1
2022-07-07 13:58:11,,32.1
2022-07-07 14:58:11,,32.6
